Country,year,Top10,Top5,Top1,Top01,Top10Can,Top5Can,Top1Can,Top01Can,Top10excap,Top10incap,Top5excap,Top5incap,Top1excap,Top1incap,Top01excap,Top01incap,Top10P,Top5P,Top1P,Top01P,Top10Pexcap,Top5Pexcap,Top1Pexcap,Top01Pexcap,Top10Pincap,Top5Pincap,Top1Pincap,Top01Pincap,Unemp,Unemployment,Taxrev,TaxICP,TaxIndICP,growth,GDPPCcur,exports,GDPdeflator,imports,GDPcons,GDPPCcons,system,execrlc,pr,rightwing,majoritarian,current_quinn,capital_quinn,epl,uc,sing3b,TopIncomeTaxRate,cellphone,computer,xlpopulation,SMC_GDP,PrivCreditGDP_MB,BDepGDP,FinDepGDP,BCred_Dep,PrivCreditGDP_MBFin,kaopen,ka_open,DFS,SM,uk_mom,frsp_mom,scan_mom,ger_mom,civ_com,rule_law,entrybarriers,bankingsuperv,securitymarkets,finreform,reform,large_reform,gini,gini_d,gini_m,SM_cap_2,SM_cap_2panel,stock_price,stocks,leftwing,Top10_5,Top10_1,Top10_01,Top5_1,Top5_01,Top1_01,country,gini_net,gini_net_se,gini_net_95ub,gini_net_95lb,gini_market,gini_market_se,gini_market_95ub,gini_market_95lb,rel_red,rel_red_se,rel_red_95ub,rel_red_95lb,abs_red,abs_red_se,abs_red_95ub,abs_red_95lb,ccode
"Australia",1981,25.309999,15.15,4.6100001,.95999998,,,,,,25.309999,,15.15,,4.6100001,,.95999998,25.309999,15.15,4.6100001,.95999998,,,,,25.309999,15.15,4.6100001,.95999998,5.7836302,5.7836304,26.3,15,12.1,3.3582535,11828.065,14.915598,9.5216259,16.788432,3.161e+11,21175.192,"Parliamentary","Right",1,1,0,62.5,50,.3,84.2,46,.6,0,,14923,,24.341379,31.838131,31.838131,77.689003,24.341379,-.11730721,.40907693,,,1,0,0,0,0,10,0,0,2,3,1,0,28,,,5.438e+10,5.438e+10,13.85876,12.501575,0,10.16,20.699999,24.35,10.539999,14.19,3.6500001,"Australia",28.095123,.20457911,28.496098,27.694149,40.399063,.29284015,40.97303,39.825096,30.453959,.5385974,31.509609,29.398308,12.303939,.27519915,12.843329,11.764548,1
"Australia",1982,25.82,15.44,4.6700001,1,,,,,,25.82,,15.44,,4.6700001,,1,25.82,15.44,4.6700001,1,,,,,25.82,15.44,4.6700001,1,7.1626489,7.1626487,26.8,14.8,12.1,3.3205686,12760.852,13.543661,11.722005,16.875741,3.266e+11,21516.525,"Parliamentary","Right",1,1,0,62.5,50,.3,84.4,,.6,0,,15184,,24.46554,31.31249,31.31249,78.578529,24.46554,-.11730721,.40907693,,,1,0,0,0,0,10,1,0,2,6,0,1,28.299999,,,4.153e+10,4.153e+10,10.61673,10.1902,0,10.38,21.15,24.82,10.77,14.44,3.6700001,"Australia",28.479183,.4828971,29.425661,27.532705,40.402916,.89088041,42.14904,38.656792,29.493177,1.2979325,32.037125,26.94923,11.923732,.72742844,13.349491,10.497972,1
"Australia",1983,25.32,15.16,4.6799998,1.02,,,,,,25.32,,15.16,,4.6799998,,1.02,25.32,15.16,4.6799998,1.02,,,,,25.32,15.16,4.6799998,1.02,9.9613728,9.9613724,26.1,13.9,11.5,-2.2306137,11512.092,13.59912,10.155275,15.671069,3.193e+11,20775.14,"Parliamentary","Right",1,1,0,75,62.5,.3,84.6,46.4,.6,0,,15393,,25.71332,32.510441,32.510441,79.586304,25.71332,-.11730721,.40907693,,,1,0,0,0,0,10,1,0,2,7,1,0,28.9,,,5.404e+10,5.404e+10,13.76946,16.276189,0,10.16,20.639999,24.299999,10.48,14.139999,3.6599998,"",,,,,,,,,,,,,,,,,1
"Australia",1984,25.5,15.25,4.75,1.03,,,,,,25.5,,15.25,,4.75,,1.03,25.5,15.25,4.75,1.03,,,,,25.5,15.25,4.75,1.03,8.9868099,8.9868097,27.7,15,12.4,4.6285434,12431.305,13.577545,7.8704989,15.042626,3.341e+11,21492.007,"Parliamentary","Left",1,0,0,75,62.5,.3,84.8,47,.6,0,,15579,,26.36215,31.96405,31.96405,85.129913,26.36215,.14486617,.47009304,,,1,0,0,0,0,10,1,0,3,10,0,1,29.5,,,4.994e+10,4.994e+10,15.64489,15.243314,1,10.25,20.75,24.469999,10.5,14.22,3.72,"Australia",28.804426,.40048203,29.589371,28.019482,39.223503,.70045286,40.59639,37.850616,26.552797,.93623006,28.387808,24.717787,10.419077,.50608176,11.410997,9.4271564,1
"Australia",1985,25.93,15.63,5.02,1.14,,,,,,25.93,,15.63,,5.02,,1.14,25.93,15.63,5.02,1.14,,,,,25.93,15.63,5.02,1.14,8.2581366,8.2581367,27.7,15.1,12.5,5.2496305,11436.448,15.257909,4.6217724,17.343912,3.516e+11,22313.065,"Parliamentary","Left",1,0,0,75,75,.3,85,47,.6,0,,15788,,30.53937,33.532909,33.532909,96.48951,30.53937,1.6352441,.81695163,,,1,0,0,0,0,10,2,0,3,13,0,1,30.200001,,,5.940e+10,5.940e+10,19.5617,21.072763,1,10.3,20.91,24.790001,10.610001,14.49,3.8800001,"Australia",29.25181,.35987759,29.95717,28.54645,43.598778,.50767523,44.593822,42.603733,32.903233,.74493062,34.363297,31.443169,14.346968,.4221372,15.174356,13.519579,1
"Australia",1986,26.610001,16.17,5.3899999,1.29,,,,,,26.610001,,16.17,,5.3899999,,1.29,26.610001,16.17,5.3899999,1.29,,,,,26.610001,16.17,5.3899999,1.29,8.0805682,8.0805683,28.4,15.8,13.3,4.0891446,11363.977,15.009184,6.4115315,18.11754,3.660e+11,22847.918,"Parliamentary","Left",1,0,0,75,75,.3,84.3,58.2,.5708,0,,16018,,35.750469,35.246059,35.246059,106.387,35.750469,1.8974175,.87796777,,,1,0,0,0,0,10,2,0,3,12,0,0,30.9,,,1.193e+11,1.193e+11,26.38676,30.926649,1,10.440001,21.220001,25.32,10.780001,14.88,4.0999999,"Australia",29.140066,.317922,29.763193,28.516939,37.659954,.50637388,38.652447,36.667461,22.617859,.67923945,23.949169,21.286549,8.519887,.33636948,9.1791716,7.8606029,1
"Australia",1987,28.66,17.940001,6.6700001,1.89,,,,,,28.66,,17.940001,,6.6700001,,1.89,28.66,17.940001,6.6700001,1.89,,,,,28.66,17.940001,6.6700001,1.89,8.1063891,8.106389,28.5,15.8,12.8,2.5850412,11627.795,15.488404,7.0522784,17.123882,3.754e+11,23084.747,"Parliamentary","Left",1,0,0,81.25,75,.3,83.6,41.2,.49,.27195033,,16264,,37.617569,35.36903,35.36903,106.3301,37.617569,2.159591,.93898392,,,1,0,0,0,0,10,2,0,3,14,1,0,32.5,,,1.544e+11,1.544e+11,36.75785,27.687156,1,10.719999,21.99,26.77,11.27,16.050001,4.7800002,"Australia",29.412632,.29443479,29.989725,28.835539,39.302811,.44858271,40.182034,38.423588,25.161413,.47729897,26.09692,24.225906,9.8901758,.26150081,10.402718,9.377634,1
"Australia",1988,30.280001,19.84,8.4099998,2.99,,,,,,30.280001,,19.84,,8.4099998,,2.99,30.280001,19.84,8.4099998,2.99,,,,,30.280001,19.84,8.4099998,2.99,7.225805,7.2258048,28.1,15.8,12.8,5.7966525,14262.303,15.978227,7.1809379,16.674381,3.972e+11,24026.532,"Parliamentary","Left",1,0,0,81.25,75,.3,82.9,41.3,.49,1.9137018,102.8807,16538,,39.78524,36.41444,36.41444,111.9194,39.78524,2.4217641,1,,,1,0,0,0,0,10,2,1,3,15,1,0,34.900002,,,1.376e+11,1.376e+11,31.94773,31.221396,1,10.440001,21.870001,27.290001,11.43,16.85,5.4200001,"Australia",29.6852,.28520879,30.244209,29.12619,40.945667,.41753244,41.76403,40.127304,27.499191,.44984815,28.380894,26.617489,11.260466,.25276545,11.755886,10.765045,1
"Australia",1989,27.639999,17.459999,6.4299998,1.79,,,,,,27.639999,,17.459999,,6.4299998,,1.79,27.639999,17.459999,6.4299998,1.79,,,,,27.639999,17.459999,6.4299998,1.79,6.1749772,6.1749773,28,15.9,12.3,3.8959939,17810.615,15.13792,9.2349821,17.017551,4.127e+11,24543.651,"Parliamentary","Left",1,0,0,81.25,75,.3,82.2,,.48,5.6193714,130.7812,16833,49.79739,47.703419,40.898201,40.898201,120.4573,47.703419,2.4217641,1,,,1,0,0,0,0,10,2,1,3,15,0,0,33.599998,,,1.404e+11,1.404e+11,34.29691,34.635764,1,10.18,21.209999,25.849998,11.029999,15.669999,4.6399999,"Australia",30.223217,.23477502,30.683376,29.763058,43.65728,.26058906,44.168034,43.146526,30.77071,.49949104,31.749712,29.791708,13.434065,.25547612,13.934798,12.933331,1
"Australia",1990,27.66,17.370001,6.3400002,1.79,,,,,,27.66,,17.370001,,6.3400002,,1.79,27.66,17.370001,6.3400002,1.79,,,,,27.66,17.370001,6.3400002,1.79,6.9259741,6.9259739,28.1,16,12.1,3.529129,18221.105,15.138354,6.1214705,17.126608,4.273e+11,25036.537,"Parliamentary","Left",1,0,0,87.5,75,.3,81.5,47.8,.47,10.824876,149.60492,17085,39.27704,56.18095,46.758148,46.758148,119.8636,56.18095,2.4217641,1,,,1,0,0,0,0,10,2,1,3,15,0,0,33.799999,,,1.079e+11,1.079e+11,31.69001,26.867784,1,10.289999,21.32,25.869999,11.030001,15.580001,4.5500002,"Australia",29.901186,.26668432,30.423887,29.378485,43.904652,.52761424,44.938774,42.870529,31.890268,.61229998,33.090378,30.690161,14.003466,.4024699,14.792307,13.214624,1
"Australia",1991,28.219999,17.700001,6.4099998,1.8099999,,,,,,28.219999,,17.700001,,6.4099998,,1.8099999,28.219999,17.700001,6.4099998,1.8099999,,,,,28.219999,17.700001,6.4099998,1.8099999,9.5792045,9.5792046,26.6,14.9,11.1,-.42595326,18840.64,16.045071,3.1187038,16.242227,4.254e+11,24614.159,"Parliamentary","Left",1,0,0,87.5,75,.3,81.1,47.2,.47,16.855137,160.31694,17284,39.6904,59.328209,49.185101,49.185101,121.3867,59.328209,2.4217641,1,,,1,0,0,0,0,10,2,1,3,15,0,0,34.200001,,,1.448e+11,1.448e+11,32.94814,34.668514,1,10.519999,21.809999,26.41,11.290001,15.890001,4.5999999,"Australia",30.318987,.3277593,30.961395,29.676579,44.96748,.43597525,45.821991,44.112968,32.574932,.46512917,33.486584,31.663279,14.648494,.27364051,15.184829,14.112159,1
